03/01/2020 14:28:52 Application Starting Up
03/01/2020 14:28:55 You requested the index page.
03/01/2020 14:28:55 The value of i is 0
03/01/2020 14:28:55 The value of i is 1
03/01/2020 14:28:55 The value of i is 2
03/01/2020 14:28:55 The value of i is 3
03/01/2020 14:28:55 The value of i is 4
03/01/2020 14:28:55 The value of i is 5
03/01/2020 14:28:55 The value of i is 6
03/01/2020 14:28:55 The value of i is 7
03/01/2020 14:28:55 The value of i is 8
03/01/2020 14:28:55 The value of i is 9
03/01/2020 14:28:55 The value of i is 10
03/01/2020 14:28:55 The value of i is 11
03/01/2020 14:28:55 The value of i is 12
03/01/2020 14:28:55 The value of i is 13
03/01/2020 14:28:55 The value of i is 14
03/01/2020 14:28:55 The value of i is 15
03/01/2020 14:28:55 The value of i is 16
03/01/2020 14:28:55 The value of i is 17
03/01/2020 14:28:55 The value of i is 18
03/01/2020 14:28:55 The value of i is 19
03/01/2020 14:28:55 The value of i is 20
03/01/2020 14:28:55 The value of i is 21
03/01/2020 14:28:55 The value of i is 22
03/01/2020 14:28:55 The value of i is 23
03/01/2020 14:28:55 The value of i is 24
03/01/2020 14:28:55 The value of i is 25
03/01/2020 14:28:55 The value of i is 26
03/01/2020 14:28:55 The value of i is 27
03/01/2020 14:28:55 The value of i is 28
03/01/2020 14:28:55 The value of i is 29
03/01/2020 14:28:55 The value of i is 30
03/01/2020 14:28:55 The value of i is 31
03/01/2020 14:28:55 The value of i is 32
03/01/2020 14:28:55 The value of i is 33
03/01/2020 14:28:55 The value of i is 34
03/01/2020 14:28:55 The value of i is 35
03/01/2020 14:28:55 The value of i is 36
03/01/2020 14:28:55 The value of i is 37
03/01/2020 14:28:55 The value of i is 38
03/01/2020 14:28:55 The value of i is 39
03/01/2020 14:28:55 The value of i is 40
03/01/2020 14:28:55 The value of i is 41
03/01/2020 14:28:55 The value of i is 42
03/01/2020 14:28:55 The value of i is 43
03/01/2020 14:28:55 The value of i is 44
03/01/2020 14:28:55 The value of i is 45
03/01/2020 14:28:55 The value of i is 46
03/01/2020 14:28:55 The value of i is 47
03/01/2020 14:28:55 The value of i is 48
03/01/2020 14:28:55 The value of i is 49
03/01/2020 14:28:55 The value of i is 50
03/01/2020 14:28:55 The value of i is 51
03/01/2020 14:28:55 The value of i is 52
03/01/2020 14:28:55 The value of i is 53
03/01/2020 14:28:55 The value of i is 54
03/01/2020 14:28:55 The value of i is 55
03/01/2020 14:28:55 We caught this exepction in the index get call
System.Exception: This is our demo exception
   at PrlyGrp.CountryCatalog.WebMvcRzr.Pages.IndexModel.OnGet() in C:\VS\pGroup\PrlyGrp\src\Services\CountryCatalog\PrlyGrp.CountryCatalog.WebMvcRzr\Pages\Index.cshtml.cs:line 33
03/01/2020 14:28:56 HTTP "GET" "/" responded 200 in 523.3226 ms
03/01/2020 14:29:39 HTTP "GET" "/Privacy" responded 200 in 19.9409 ms
03/01/2020 14:29:41 You requested the index page.
03/01/2020 14:29:41 The value of i is 0
03/01/2020 14:29:41 The value of i is 1
03/01/2020 14:29:41 The value of i is 2
03/01/2020 14:29:41 The value of i is 3
03/01/2020 14:29:41 The value of i is 4
03/01/2020 14:29:42 The value of i is 5
03/01/2020 14:29:42 The value of i is 6
03/01/2020 14:29:42 The value of i is 7
03/01/2020 14:29:42 The value of i is 8
03/01/2020 14:29:42 The value of i is 9
03/01/2020 14:29:42 The value of i is 10
03/01/2020 14:29:42 The value of i is 11
03/01/2020 14:29:42 The value of i is 12
03/01/2020 14:29:42 The value of i is 13
03/01/2020 14:29:42 The value of i is 14
03/01/2020 14:29:42 The value of i is 15
03/01/2020 14:29:42 The value of i is 16
03/01/2020 14:29:42 The value of i is 17
03/01/2020 14:29:42 The value of i is 18
03/01/2020 14:29:42 The value of i is 19
03/01/2020 14:29:42 The value of i is 20
03/01/2020 14:29:42 The value of i is 21
03/01/2020 14:29:42 The value of i is 22
03/01/2020 14:29:42 The value of i is 23
03/01/2020 14:29:42 The value of i is 24
03/01/2020 14:29:42 The value of i is 25
03/01/2020 14:29:42 The value of i is 26
03/01/2020 14:29:42 The value of i is 27
03/01/2020 14:29:42 The value of i is 28
03/01/2020 14:29:42 The value of i is 29
03/01/2020 14:29:42 The value of i is 30
03/01/2020 14:29:42 The value of i is 31
03/01/2020 14:29:42 The value of i is 32
03/01/2020 14:29:42 The value of i is 33
03/01/2020 14:29:42 The value of i is 34
03/01/2020 14:29:42 The value of i is 35
03/01/2020 14:29:42 The value of i is 36
03/01/2020 14:29:42 The value of i is 37
03/01/2020 14:29:42 The value of i is 38
03/01/2020 14:29:42 The value of i is 39
03/01/2020 14:29:42 The value of i is 40
03/01/2020 14:29:42 The value of i is 41
03/01/2020 14:29:42 The value of i is 42
03/01/2020 14:29:42 The value of i is 43
03/01/2020 14:29:42 The value of i is 44
03/01/2020 14:29:42 The value of i is 45
03/01/2020 14:29:42 The value of i is 46
03/01/2020 14:29:42 The value of i is 47
03/01/2020 14:29:42 The value of i is 48
03/01/2020 14:29:42 The value of i is 49
03/01/2020 14:29:42 The value of i is 50
03/01/2020 14:29:42 The value of i is 51
03/01/2020 14:29:42 The value of i is 52
03/01/2020 14:29:42 The value of i is 53
03/01/2020 14:29:42 The value of i is 54
03/01/2020 14:29:42 The value of i is 55
03/01/2020 14:29:42 We caught this exepction in the index get call
System.Exception: This is our demo exception
   at PrlyGrp.CountryCatalog.WebMvcRzr.Pages.IndexModel.OnGet() in C:\VS\pGroup\PrlyGrp\src\Services\CountryCatalog\PrlyGrp.CountryCatalog.WebMvcRzr\Pages\Index.cshtml.cs:line 33
03/01/2020 14:29:42 HTTP "GET" "/" responded 200 in 163.0429 ms
03/01/2020 14:29:43 HTTP "GET" "/Privacy" responded 200 in 4.4589 ms
03/01/2020 14:32:21 Application Starting Up
03/01/2020 14:32:25 You requested the index page.
03/01/2020 14:32:25 The value of i is 0
03/01/2020 14:32:25 The value of i is 1
03/01/2020 14:32:25 The value of i is 2
03/01/2020 14:32:25 The value of i is 3
